_RAJ2000;_DEJ2000;RAJ2000;e_RAJ2000;DEJ2000;e_DEJ2000;Sp;e_Sp;St;e_St;MajAxis;MinAxis;PA;dMajAxis;dMinAxis;dPA;Mosaic;Nm;Xpos;Ypos;MGPS;E
247.80425;-51.6476944;16 31 13.02;1.5;-51 38 51.7;1.7;448.4;13.6;492.6;14.9;57.1;51.9;118.2;0.0;0.0;     ;J1624M52;1;338.7;643.3;J163113-513851;0.0
247.8774167;-40.2526667;16 31 30.58;1.5;-40 15 09.6;1.7;546.4;16.5;546.5;16.5;70.0;47.2;171.3;0.0;0.0;     ;J1640M40;1;1235.0;396.8;J163130-401509;0.0
247.9434167;-39.9452778;16 31 46.42;1.5;-39 56 43.0;1.7;1191.0;35.8;1203.0;36.2;70.0;50.6;126.1;0.0;0.0;     ;J1640M40;1;1220.9;461.7;J163146-395643;0.0
247.9890833;-59.5845556;16 31 57.38;1.5;-59 35 04.4;1.7;548.7;16.5;643.7;19.4;52.5;52.3;96.1;0.0;0.0;     ;J1630M60;1;624.0;728.5;J163157-593504;1.0
248.011875;-49.1590278;16 32 02.85;1.5;-49 09 32.5;1.7;500.0;15.2;544.7;16.5;60.6;52.1;145.5;0.0;0.0;     ;J1620M48;2;60.7;232.8;J163202-490932;0.0
248.27466669999998;-45.157444399999996;16 33 05.92;1.5;-45 09 26.8;1.7;828.2;24.9;884.3;26.6;64.8;52.6;56.7;0.0;0.0;     ;J1640M44;1;1103.1;224.0;J163305-450926;0.0
248.708625;-36.857833299999996;16 34 50.07;1.5;-36 51 28.2;1.7;481.0;14.5;481.1;14.5;76.6;60.0;153.1;0.0;0.0;     ;J1630M36;1;388.5;248.8;J163450-365128;1.0
248.996;-32.9392222;16 35 59.04;1.5;-32 56 21.2;1.7;533.2;16.1;542.7;16.4;84.9;59.2;40.9;0.0;0.0;     ;J1630M32;1;294.1;209.6;J163559-325621;1.0
249.2304583;-41.0330833;16 36 55.31;1.5;-41 01 59.1;1.7;3018.0;90.6;3019.0;90.6;70.0;45.0;0.5;0.0;0.0;     ;J1640M40;1;895.0;236.2;J163655-410159;0.0
249.72420830000002;-47.4420278;16 38 53.81;1.6;-47 26 31.3;1.7;440.3;13.6;1276.4;45.2;98.5;81.0;71.4;87.0;54.8; 77.7;J1640M48;1;766.0;659.6;J163853-472631;0.0
249.8747083;-38.4683333;16 39 29.93;1.5;-38 28 06.0;1.7;1154.0;34.7;1238.0;37.2;70.0;56.5;152.2;0.0;0.0;     ;J1640M40;1;737.1;776.2;J163929-382806;0.0
249.91654169999998;-31.6850833;16 39 39.97;1.5;-31 41 06.3;1.7;605.2;18.3;655.8;19.8;84.9;61.6;45.0;0.0;0.0;     ;J1648M32;2;1285.1;425.7;J163939-314106;1.0
250.00158330000002;-48.862444399999994;16 40 00.38;1.5;-48 51 44.8;1.7;2364.0;71.1;2838.0;85.3;62.9;52.1;97.5;0.0;0.0;     ;J1640M48;1;704.7;314.3;J164000-485144;0.0
250.013125;-34.214833299999995;16 40 03.15;1.5;-34 12 53.4;1.7;712.9;21.5;793.8;23.9;76.6;63.1;147.8;0.0;0.0;     ;J1630M36;2;25.1;753.2;J164003-341253;1.0
250.16495830000002;-32.0755;16 40 39.59;1.5;-32 04 31.8;1.7;585.1;17.7;670.8;20.3;84.9;51.7;95.3;0.0;0.0;     ;J1648M32;1;1213.8;358.6;J164039-320431;1.0
250.18308330000002;-34.26588889999999;16 40 43.94;1.5;-34 15 57.2;1.7;499.8;15.1;499.9;15.1;76.6;45.0;1.0;0.0;0.0;     ;J1648M36;1;1196.3;745.8;J164043-341557;0.0
250.4602917;-47.6772222;16 41 50.47;1.5;-47 40 38.0;1.7;716.7;21.6;752.2;22.7;60.6;53.3;143.3;0.0;0.0;     ;J1640M48;1;603.6;602.3;J164150-474038;0.0
250.472625;-59.854833299999996;16 41 53.43;1.5;-59 51 17.4;1.7;498.3;15.0;595.5;23.3;57.9;48.8;134.9;33.0;0.0;117.4;J1630M60;1;216.7;642.6;J164153-595117;1.0
250.775375;-46.794638899999995;16 43 06.09;1.5;-46 47 40.7;1.7;527.5;16.3;879.5;33.1;80.5;58.0;122.3;64.2;0.0;111.7;J1640M48;1;531.3;816.5;J164306-464740;0.0
250.81045830000002;-54.318638899999996;16 43 14.51;1.5;-54 19 07.1;1.7;469.6;14.2;486.9;14.7;54.3;46.7;92.1;0.0;0.0;     ;J1648M56;1;932.1;1039.5;J164314-541907;0.0
