_RAJ2000;_DEJ2000;RAJ2000;e_RAJ2000;DEJ2000;e_DEJ2000;Sp;e_Sp;St;e_St;MajAxis;MinAxis;PA;dMajAxis;dMinAxis;dPA;Mosaic;Nm;Xpos;Ypos
40.935416700000005;-51.2093333;02 43 44.50;1.5;-51 12 33.60;1.7;2559.0;76.8;3669.0;125.8;81.7;45.1;3.6;58.5;0.0;  4.9;J0248M52;1;923.3;758.6
41.475375;-44.9948611;02 45 54.09;1.5;-44 59 41.50;1.7;1928.0;57.9;1972.0;59.2;64.8;46.8;74.6;0.0;0.0;     ;J0240M44;1;363.6;261.7
41.5;-46.8551111;02 46 00.00;1.5;-46 51 18.40;1.7;1468.0;44.1;1520.0;45.6;62.3;45.6;171.3;0.0;0.0;     ;J0240M48;1;369.3;800.0
41.728958299999995;-55.6893889;02 46 54.95;1.5;-55 41 21.80;1.7;2273.0;68.2;2877.0;86.3;57.3;54.1;100.8;0.0;0.0;     ;J0248M56;1;755.0;669.2
41.746416700000005;-55.69022220000001;02 46 59.14;1.5;-55 41 24.80;1.7;1302.0;39.1;1303.0;39.1;54.3;45.1;95.5;0.0;0.0;     ;J0248M56;1;751.8;669.0
42.392625;-59.81575;02 49 34.23;1.5;-59 48 56.70;1.7;1531.0;46.0;1723.0;51.7;52.0;51.2;108.8;0.0;0.0;     ;J0300M60;1;1133.9;655.9
42.4507917;-55.938944400000004;02 49 48.19;1.5;-55 56 20.20;1.7;1724.0;51.7;1851.0;55.6;55.1;48.4;30.4;0.0;0.0;     ;J0248M56;1;622.4;601.3
42.9855833;-67.3003333;02 51 56.54;1.5;-67 18 01.20;1.7;1592.0;47.8;2113.0;78.1;59.8;48.5;99.5;39.3;0.0; 97.5;J0300M68;1;959.4;862.5
43.1929583;-71.0767222;02 52 46.31;1.5;-71 04 36.20;1.7;8543.0;256.3;8545.0;256.4;47.3;45.0;1.1;0.0;0.0;     ;J0300M72;1;896.8;954.6
43.8159167;-66.9487222;02 55 15.82;1.5;-66 56 55.40;1.7;1533.0;46.0;1539.0;46.2;48.5;46.6;50.1;0.0;0.0;     ;J0300M68;1;856.7;971.6
43.9675417;-48.9788611;02 55 52.21;1.5;-48 58 43.90;1.7;1258.0;37.8;1343.0;40.3;60.6;48.5;102.5;0.0;0.0;     ;J0300M48;1;926.8;284.8
44.0055417;-48.2609722;02 56 01.33;1.5;-48 15 39.50;1.7;1148.0;34.5;1148.0;34.5;60.6;51.2;30.0;0.0;0.0;     ;J0300M48;1;921.7;459.5
44.8606667;-39.67805560000001;02 59 26.56;1.5;-39 40 41.00;1.7;1460.0;43.8;1552.0;46.6;72.6;47.6;11.1;0.0;0.0;     ;J0300M40;1;740.1;521.7
45.9617083;-62.190388899999995;03 03 50.81;1.5;-62 11 25.40;1.7;2455.0;73.7;2456.0;73.7;50.1;45.0;89.1;0.0;0.0;     ;J0300M64;1;558.2;1165.2
46.2330417;-35.9473889;03 04 55.93;1.5;-35 56 50.60;1.7;1441.0;43.3;1813.0;54.5;77.1;64.3;31.2;0.0;0.0;     ;J0300M36;1;378.3;423.9
49.0435417;-68.35175;03 16 10.45;1.5;-68 21 06.30;1.7;2555.0;76.7;2555.0;76.7;48.5;45.7;29.5;0.0;0.0;     ;J0336M68;2;1302.7;525.0
49.162;-43.856888899999994;03 16 38.88;1.5;-43 51 24.80;1.7;1173.0;35.3;2017.0;78.6;87.7;57.3;3.8;59.3;35.1;  7.4;J0320M44;1;902.8;521.8
49.4899167;-44.2383333;03 17 57.58;1.5;-44 14 18.00;1.7;1866.0;56.0;1915.0;57.5;64.8;56.1;144.7;0.0;0.0;     ;J0320M44;1;824.6;435.6
50.5551667;-46.4471389;03 22 13.24;1.5;-46 26 49.70;1.7;1145.0;34.4;1145.0;34.4;60.6;45.0;179.6;0.0;0.0;     ;J0320M48;1;579.8;901.3
50.616375;-38.81169439999999;03 22 27.93;1.5;-38 48 42.10;1.7;1392.0;41.8;1392.0;41.8;70.0;45.0;179.6;0.0;0.0;     ;J0320M40;1;547.8;703.6
50.997125;-88.2719167;03 23 59.31;1.5;-88 16 18.90;1.7;1192.0;35.8;1341.0;53.3;49.5;46.1;83.5;20.6;0.0; 83.5;J0600M88;4;1060.9;489.2
51.0412917;-76.5004167;03 24 09.91;1.5;-76 30 01.50;1.7;1332.0;40.0;1402.0;42.1;48.4;45.4;22.9;0.0;0.0;     ;J0300M76;2;244.3;502.2
51.1181667;-54.891027799999996;03 24 28.36;1.5;-54 53 27.70;1.7;2027.0;60.8;2100.0;63.0;56.1;45.2;3.0;0.0;0.0;     ;J0312M56;2;118.4;874.9
