_RAJ2000;_DEJ2000;NVSS;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;S1.4;e_S1.4;l_MajAxis;MajAxis;l_MinAxis;MinAxis;f_resFlux
237.0540417;-12.2255;154812-121331;15 48 12.97;-12 13 31.8;0.03;0.6;2795.0;83.9;<;18.4;<;17.6;P*
237.4540833;21.427527800000004;154948+212539;15 49 48.98;+21 25 39.1;0.03;0.6;2522.0;75.7;<;18.2;<;17.8;
237.6469167;5.452944400000001;155035+052710;15 50 35.26;+05 27 10.6;0.03;0.6;2303.3;69.1;<;17.9;<;16.1;
239.0419167;20.0725556;155610+200421;15 56 10.06;+20 04 21.2;0.03;0.6;2313.7;69.4;<;18.8;<;17.2;P*
240.5302917;33.4480833;160207+332653;16 02 07.27;+33 26 53.1;0.04;0.6;2990.6;89.7;<;17.4;<;16.8;
240.632625;1.9633889;160231+015748;16 02 31.83;+01 57 48.2;0.03;0.6;6167.6;203.1;;70.4;;28.2;S*
241.1887083;1.2976944;160445+011751;16 04 45.29;+01 17 51.7;0.03;0.6;4075.3;122.3;<;19.8;<;16.7;
241.30208330000002;-28.985666700000003;160512-285908;16 05 12.50;-28 59 08.4;0.03;0.6;2488.1;79.8;;47.6;<;17.1;P*
242.3054583;26.691444399999995;160913+264129;16 09 13.31;+26 41 29.2;0.03;0.6;4908.2;147.2;<;16.8;<;15.1;P*
243.4211667;34.21325;161341+341247;16 13 41.08;+34 12 47.7;0.04;0.6;4024.1;120.7;<;19.4;<;16.9;
245.99808330000002;-11.678638900000001;162359-114043;16 23 59.54;-11 40 43.1;0.03;0.6;2725.6;96.2;;14.3;<;16.3;P*
246.16425;23.7548611;162439+234517;16 24 39.42;+23 45 17.5;0.03;0.6;2612.7;89.7;;23.6;<;15.1;
246.44554169999998;-25.4608611;162546-252739;16 25 46.93;-25 27 39.1;0.03;0.6;2521.2;75.6;<;16.8;<;16.0;
246.5249583;-29.857444399999995;162605-295126;16 26 05.99;-29 51 26.8;0.03;0.6;2285.8;68.6;<;16.5;<;16.0;
247.15975;39.55;162838+393300;16 28 38.34;+39 33 00.0;0.04;0.6;3678.7;123.3;;72.7;;18.0;P*
247.2220833;44.3181111;162853+441905;16 28 53.30;+44 19 05.2;0.04;0.6;3018.7;99.9;;35.2;<;15.1;S*
248.814625;38.134666700000004;163515+380804;16 35 15.51;+38 08 04.8;0.04;0.6;2726.0;81.8;<;17.8;<;17.3;
249.8680417;-40.266555600000004;163928-401559;16 39 28.33;-40 15 59.6;0.04;0.6;3458.2;103.7;<;13.9;<;13.9;
250.744875;39.8102778;164258+394837;16 42 58.77;+39 48 37.0;0.04;0.6;7098.6;213.0;<;17.9;<;16.5;
250.952875;17.2635556;164348+171548;16 43 48.69;+17 15 48.8;0.03;0.6;3666.2;110.0;<;19.5;<;17.2;P*
251.8775833;-10.737888900000002;164730-104416;16 47 30.62;-10 44 16.4;0.03;0.6;2139.0;64.2;<;17.5;<;15.9;
251.9242917;17.336527800000002;164741+172011;16 47 41.83;+17 20 11.5;0.03;0.6;2130.2;63.9;<;15.1;<;14.4;
252.7660417;4.9949722;165103+045941;16 51 03.85;+04 59 41.9;0.03;0.6;11157.2;364.4;;40.1;<;15.9;P*
